ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,RoundedOptimizedLoanAmount,RoundedOptimizedLoanPeriod,OptimizedClientScoreWithRoundedValues
100074.0,1500.0,3.0,1.0,322.0,1400.0,4,383.57579613383655
100078.0,10000.0,21.0,1.0,117.0,9900.0,25,355.79171666701313
100079.0,10000.0,21.0,0.0,-403.0,9800.0,34,369.9433008893211
100080.0,1000.0,4.0,1.0,182.0,950.0,7,360.46783184456547
100081.0,47900.0,39.0,1.0,286.0,47800.0,41,406.6477696448951
100082.0,2200.0,7.0,1.0,283.0,2100.0,9,403.64776964489545
100083.0,2700.0,6.0,1.0,299.0,2600.0,7,360.57579613383655
100084.0,9000.0,20.0,1.0,238.0,8900.0,22,358.64776964489556
100085.0,32300.0,34.0,0.0,-422.0,31700.0,47,360.9585913804319
100088.0,2000.0,6.0,0.0,211.0,1900.0,9,390.71974315595435
100090.0,1500.0,5.0,1.0,243.0,1400.0,7,363.64776964489556
100091.0,2250.0,5.0,1.0,340.0,2200.0,6,400.3238848224478
100092.0,1000.0,4.0,0.0,-460.0,950.0,18,368.2595404662135
100101.0,6060.0,14.0,1.0,178.0,6000.0,17,356.71821410684333
100104.0,10000.0,21.0,1.0,305.0,9900.0,22,366.57579613383655
100105.0,6000.0,14.0,1.0,94.0,5900.0,19,391.86369017807215
100108.0,3000.0,8.0,0.0,285.0,2900.0,10,405.64776964489545
100109.0,4000.0,10.0,1.0,340.0,3900.0,11,401.57579613383655
100110.0,5000.0,10.0,1.0,258.0,4900.0,12,378.64776964489545
100114.0,3600.0,9.0,0.0,102.0,3500.0,14,399.86369017807215
100121.0,2000.0,6.0,0.0,-475.0,1900.0,20,354.51145177760213
100123.0,6500.0,15.0,1.0,308.0,6400.0,16,369.57579613383643
100124.0,4700.0,11.0,0.0,-331.0,4600.0,23,380.36750475548445
100127.0,1700.0,6.0,1.0,126.0,1600.0,10,364.79171666701325
100137.0,87700.0,46.0,1.0,265.0,87400.0,48,390.65541489045063
100139.0,2000.0,4.0,1.0,326.0,1900.0,5,387.57579613383655
100141.0,58000.0,40.0,0.0,98.0,57500.0,45,405.8789806691825
100145.0,4000.0,10.0,1.0,-47.0,3900.0,17,369.00763720018995
100150.0,4000.0,10.0,1.0,132.0,3900.0,14,370.79171666701325
100152.0,1000.0,4.0,1.0,289.0,950.0,6,408.3958583335067
100159.0,4000.0,10.0,0.0,151.0,3900.0,14,389.79171666701325
100162.0,1000.0,4.0,0.0,-422.0,950.0,18,406.2595404662135
100164.0,3750.0,10.0,1.0,119.0,3700.0,14,356.5398053556245
100167.0,2782.0,6.0,1.0,255.0,2700.0,8,375.19708157279547
100169.0,3500.0,9.0,0.0,90.0,3400.0,14,387.86369017807215
100172.0,760.0,4.0,0.0,-331.0,700.0,16,379.3659757063733
100175.0,1000.0,4.0,0.0,-419.0,950.0,18,409.2595404662135
100176.0,1000.0,4.0,0.0,-446.0,950.0,18,382.2595404662135
100178.0,1000.0,2.0,1.0,195.0,950.0,5,373.4678318445655
100184.0,3500.0,9.0,1.0,343.0,3400.0,10,404.57579613383655
100185.0,600.0,4.0,0.0,-461.0,550.0,18,367.2595404662135
100189.0,651.0,4.0,0.0,-283.0,600.0,15,368.0686581592645
100193.0,543.0,4.0,1.0,326.0,500.0,5,386.1486172388534
100196.0,5838.0,14.0,0.0,-506.0,5700.0,29,383.5348778853165
100197.0,5838.0,14.0,0.0,-405.0,5700.0,27,366.39093086319895
100198.0,850.0,4.0,1.0,242.0,800.0,6,361.39585833350657
100205.0,5000.0,10.0,1.0,294.0,4900.0,11,355.57579613383655
100208.0,6188.0,14.0,1.0,76.0,6100.0,19,373.563231463339
100217.0,2000.0,6.0,1.0,343.0,1900.0,7,404.57579613383655
100218.0,1000.0,4.0,0.0,-467.0,950.0,18,361.2595404662135
100221.0,1773.0,6.0,1.0,205.0,1700.0,9,384.0437110478043
100224.0,542.0,4.0,0.0,-291.0,500.0,15,359.84331412321444
100227.0,1100.0,3.0,1.0,321.0,1000.0,4,382.57579613383655
100236.0,1500.0,5.0,1.0,244.0,1400.0,7,364.64776964489556
100238.0,1500.0,5.0,0.0,-455.0,1400.0,19,374.51145177760236
100240.0,2000.0,6.0,1.0,270.0,1900.0,8,390.64776964489545
100241.0,1301.0,5.0,0.0,324.0,1200.0,6,385.60083436006425
100243.0,5000.0,12.0,0.0,-358.0,4900.0,24,353.36750475548456
100246.0,8000.0,18.0,1.0,349.0,7900.0,19,410.57579613383655
100247.0,3632.0,7.0,1.0,178.0,3500.0,10,358.52096639524314
100248.0,3000.0,8.0,1.0,347.0,2900.0,9,408.57579613383655
100249.0,1500.0,5.0,0.0,-446.0,1400.0,19,383.51145177760236
100254.0,4408.0,11.0,1.0,247.0,4300.0,13,367.8480754547177
100261.0,3800.0,10.0,0.0,337.0,3700.0,11,398.57579613383655
100262.0,3575.0,9.0,0.0,-431.0,3400.0,23,400.3893187446856
100264.0,5000.0,12.0,1.0,305.0,4900.0,13,366.57579613383655
100266.0,1500.0,5.0,0.0,-468.0,1400.0,19,361.51145177760236
100269.0,2000.0,6.0,0.0,-477.0,1900.0,20,352.51145177760213
100276.0,1200.0,5.0,0.0,283.0,1100.0,7,403.64776964489545
100279.0,5000.0,12.0,1.0,300.0,4900.0,13,361.57579613383655
100286.0,5839.0,12.0,1.0,254.0,5800.0,14,373.1204378450011
100287.0,543.0,4.0,0.0,-330.0,500.0,16,379.94032586050116
100291.0,4000.0,10.0,0.0,9.0,3900.0,16,365.93566368913105
100294.0,1000.0,4.0,0.0,164.0,950.0,8,401.5398053556245
100307.0,2060.0,7.0,0.0,291.0,2000.0,8,351.57426708472553
100309.0,4000.0,10.0,1.0,336.0,3900.0,11,397.57579613383655
100311.0,543.0,4.0,1.0,260.0,500.0,6,379.22059074991216
100312.0,500.0,4.0,0.0,-211.0,450.0,14,380.9716464219779
100313.0,1000.0,4.0,0.0,-579.0,950.0,20,367.4034874883313
100316.0,7000.0,16.0,1.0,341.0,6900.0,17,402.57579613383655
100320.0,3994.0,10.0,1.0,274.0,3900.0,12,394.49754028752886
100323.0,500.0,4.0,1.0,334.0,450.0,5,394.3238848224478
100324.0,4000.0,10.0,0.0,-405.0,3900.0,23,365.43947826654335
100325.0,6500.0,13.0,1.0,305.0,6400.0,14,366.57579613383666
100327.0,10000.0,20.0,1.0,325.0,9900.0,21,386.5757961338363
100331.0,2090.0,7.0,1.0,342.0,2000.0,8,403.3254138715588
100336.0,4500.0,11.0,1.0,342.0,4400.0,12,403.57579613383643
100351.0,543.0,4.0,0.0,-299.0,500.0,15,351.86835234944226
100352.0,543.0,4.0,0.0,-250.0,500.0,15,400.86835234944226
100356.0,1084.0,5.0,0.0,-300.0,1000.0,16,351.8949196247811
100363.0,4700.0,11.0,1.0,172.0,4600.0,15,410.79171666701325
100364.0,2400.0,7.0,1.0,299.0,2300.0,8,360.57579613383655
100365.0,4700.0,10.0,1.0,267.0,4600.0,12,387.64776964489545
100366.0,5000.0,12.0,0.0,-429.0,4800.0,26,403.0152744003799
100367.0,85500.0,46.0,0.0,-520.0,83200.0,60,364.5955494787104
100368.0,7600.0,16.0,1.0,100.0,7500.0,21,397.8636901780719
100370.0,4700.0,9.0,1.0,219.0,4600.0,12,398.71974315595435
100372.0,500.0,4.0,0.0,-16.0,450.0,11,398.7557258888012
100373.0,96400.0,48.0,0.0,-520.0,89900.0,60,351.6121526132547
100374.0,2758.0,8.0,0.0,-564.0,2600.0,24,385.10761592093115
100375.0,24300.0,32.0,1.0,192.0,24200.0,35,371.71974315595435
100377.0,500.0,4.0,0.0,-592.0,450.0,20,354.4034874883314
100378.0,1000.0,4.0,0.0,-501.0,950.0,19,386.3315139772725
100379.0,4700.0,9.0,1.0,345.0,4600.0,10,406.57579613383655
100380.0,6000.0,12.0,1.0,270.0,5900.0,14,390.64776964489533
100381.0,4000.0,10.0,1.0,250.0,3900.0,12,370.64776964489545
100383.0,500.0,4.0,0.0,57.0,450.0,9,353.6117788666834
100384.0,5200.0,12.0,1.0,340.0,5100.0,13,401.57579613383655
100385.0,5250.0,12.0,1.0,270.0,5200.0,14,389.39585833350657
100387.0,10000.0,21.0,1.0,279.0,9900.0,23,399.64776964489556
100389.0,7500.0,17.0,1.0,251.0,7400.0,19,371.6477696448957
100391.0,1200.0,5.0,0.0,-527.0,1100.0,20,361.58342528866115
100394.0,12200.0,24.0,1.0,315.0,12100.0,25,376.5757961338363
100395.0,5000.0,10.0,1.0,319.0,4900.0,11,380.57579613383655
100396.0,35600.0,35.0,0.0,-471.0,34900.0,49,373.534387514268
100397.0,9200.0,18.0,1.0,211.0,9100.0,21,390.71974315595435
100398.0,3000.0,8.0,0.0,-387.0,2900.0,21,383.43947826654323
100399.0,2000.0,6.0,1.0,261.0,1900.0,8,381.64776964489545
100415.0,4700.0,11.0,0.0,270.0,4600.0,13,390.64776964489545
100419.0,2200.0,7.0,1.0,275.0,2100.0,9,395.64776964489545
100422.0,1720.0,6.0,0.0,310.0,1700.0,7,369.5727380356144
100424.0,4000.0,11.0,0.0,-394.0,3900.0,24,376.43947826654323
100426.0,4000.0,10.0,0.0,285.0,3900.0,12,405.64776964489545
100427.0,1000.0,4.0,0.0,-495.0,950.0,19,392.3315139772725
100429.0,34850.0,35.0,1.0,183.0,34700.0,38,363.97165446734334
100431.0,5550.0,11.0,1.0,185.0,5500.0,14,363.46783184456547
100432.0,4500.0,9.0,1.0,164.0,4400.0,13,402.79171666701325
100438.0,600.0,4.0,0.0,200.0,550.0,7,378.4678318445656
100440.0,43500.0,37.0,0.0,239.0,43300.0,39,362.1515922676731
100446.0,1000.0,4.0,0.0,277.0,950.0,6,396.3958583335067
100448.0,3000.0,8.0,0.0,220.0,2900.0,11,399.71974315595435
100449.0,16200.0,28.0,0.0,182.0,16100.0,31,361.7197431559546
100451.0,542.0,4.0,0.0,-344.0,500.0,16,365.91528763427334
100455.0,2000.0,4.0,1.0,326.0,1900.0,5,387.57579613383655
100456.0,40400.0,36.0,1.0,343.0,40300.0,37,404.5757961338363
100458.0,6000.0,14.0,0.0,298.0,5900.0,15,359.57579613383655
100462.0,1500.0,3.0,1.0,226.0,1400.0,6,405.71974315595435
100463.0,5200.0,10.0,1.0,252.0,5100.0,12,372.64776964489556
100465.0,40400.0,36.0,0.0,-442.0,39600.0,50,405.03821013704555
100467.0,7600.0,18.0,0.0,291.0,7500.0,19,352.57579613383655
100469.0,3000.0,8.0,0.0,-114.0,2900.0,16,361.07961071124885
100470.0,8000.0,16.0,1.0,153.0,7900.0,20,391.79171666701313
100472.0,3500.0,9.0,0.0,-485.0,3300.0,24,406.0872479114389
100476.0,2303.0,5.0,1.0,301.0,2200.0,6,362.6509108125199
100477.0,10000.0,20.0,1.0,305.0,9900.0,21,366.5757961338363
100478.0,4700.0,11.0,0.0,329.0,4600.0,12,390.57579613383666
100480.0,5200.0,13.0,1.0,266.0,5100.0,15,386.64776964489545
100483.0,1200.0,5.0,0.0,236.0,1100.0,7,356.64776964489545
100484.0,105200.0,50.0,0.0,113.0,104400.0,54,369.3184750264577
100485.0,1300.0,5.0,0.0,223.0,1200.0,8,402.71974315595423
100490.0,3200.0,9.0,0.0,245.0,3100.0,11,365.64776964489545
100491.0,976.0,4.0,0.0,277.0,950.0,6,395.79494090404
100493.0,1000.0,4.0,0.0,316.0,950.0,5,376.32388482244767
100494.0,1147.0,5.0,0.0,205.0,1100.0,8,383.39271716588223
100495.0,2764.0,6.0,1.0,226.0,2700.0,9,404.8183670117544
100496.0,543.0,4.0,0.0,277.0,500.0,6,396.22059074991216
100498.0,3000.0,8.0,0.0,122.0,2900.0,12,360.79171666701325
100499.0,2220.0,7.0,0.0,315.0,2200.0,8,374.5727380356145
100500.0,543.0,4.0,0.0,211.0,500.0,7,389.2925642609712
100501.0,3979.0,10.0,1.0,192.0,3900.0,13,371.19394040517113
100502.0,2600.0,6.0,1.0,285.0,2500.0,8,405.64776964489545
100505.0,1800.0,6.0,1.0,340.0,1700.0,7,401.57579613383655
100507.0,543.0,4.0,0.0,329.0,500.0,5,389.1486172388534
100510.0,5272.0,13.0,0.0,186.0,5200.0,16,365.0186728215766
100512.0,9000.0,20.0,0.0,-12.0,8900.0,27,404.0076372001902
100515.0,12251.0,24.0,1.0,344.0,12200.0,25,404.34892304867526
100518.0,3000.0,8.0,1.0,309.0,2900.0,9,370.57579613383655
100519.0,4434.0,11.0,1.0,289.0,4400.0,13,407.99524671386223
100520.0,3000.0,8.0,0.0,162.0,2900.0,12,400.79171666701325
100524.0,1100.0,5.0,0.0,115.0,1000.0,9,353.79171666701325
100526.0,1720.0,4.0,1.0,343.0,1700.0,5,402.5727380356144
100538.0,2000.0,6.0,0.0,269.0,1900.0,8,389.64776964489545
100539.0,4000.0,10.0,0.0,-486.0,3800.0,25,405.0872479114387
100540.0,500.0,4.0,0.0,-435.0,450.0,18,393.2595404662136
100544.0,1301.0,5.0,0.0,267.0,1200.0,7,387.67280787112327
100548.0,1000.0,4.0,0.0,120.0,950.0,8,357.5398053556245
100550.0,600.0,4.0,0.0,-490.0,550.0,19,397.3315139772725
100556.0,1219.0,5.0,1.0,312.0,1200.0,6,371.5476998093866
100564.0,700.0,4.0,0.0,-462.0,650.0,18,366.25954046621337
100568.0,4558.0,12.0,0.0,170.0,4500.0,16,407.7401111654467
100574.0,3000.0,6.0,1.0,329.0,2900.0,7,390.57579613383655
100579.0,543.0,4.0,0.0,322.0,500.0,5,382.1486172388534
100582.0,11000.0,20.0,1.0,257.0,10900.0,22,377.64776964489533
100584.0,3000.0,8.0,0.0,222.0,2900.0,11,401.71974315595435
100588.0,2228.0,7.0,0.0,181.0,2200.0,10,358.91699086755455
100591.0,1000.0,4.0,0.0,138.0,950.0,8,375.5398053556245
100594.0,4000.0,10.0,0.0,-336.0,3900.0,22,375.36750475548433
100595.0,11715.0,24.0,0.0,177.0,11600.0,27,357.0953165493711
100602.0,6000.0,14.0,1.0,239.0,5900.0,16,359.64776964489533
100603.0,3400.0,9.0,1.0,314.0,3300.0,10,375.57579613383666
100604.0,2314.0,7.0,1.0,203.0,2300.0,10,380.5664557003655
100605.0,700.0,2.0,1.0,268.0,650.0,4,387.3958583335067
100610.0,3580.0,7.0,1.0,332.0,3500.0,8,393.07503160928104
100615.0,1084.0,5.0,0.0,212.0,1000.0,8,391.3191315363099
100619.0,9869.0,22.0,1.0,288.0,9800.0,24,407.87158463183437
100621.0,1084.0,5.0,0.0,228.0,1000.0,8,407.3191315363099
100631.0,4300.0,11.0,0.0,132.0,4200.0,15,370.79171666701325
100635.0,9634.0,22.0,1.0,343.0,9600.0,23,402.92327320280356
100636.0,3000.0,8.0,1.0,166.0,2900.0,12,404.79171666701325
100637.0,5000.0,10.0,1.0,334.0,4900.0,11,395.57579613383655
100643.0,3409.0,9.0,0.0,-347.0,3300.0,21,364.5928487915344
100647.0,1115.0,5.0,0.0,-401.0,1000.0,18,369.81505165995986
100649.0,1109.0,5.0,0.0,-308.0,1000.0,17,403.5928487915345
100651.0,2893.0,8.0,0.0,-376.0,2800.0,21,394.2642106829487
100657.0,4564.0,11.0,0.0,167.0,4500.0,15,404.8903405228133
100658.0,543.0,4.0,0.0,342.0,500.0,5,402.1486172388534
100659.0,12225.0,23.0,1.0,206.0,12100.0,26,386.3456988116486
100660.0,12000.0,23.0,0.0,-387.0,11800.0,36,385.94330088932065
100664.0,3423.0,9.0,1.0,-22.0,3300.0,16,394.5835164034288
100672.0,7400.0,17.0,1.0,87.0,7300.0,22,384.86369017807203
100674.0,2893.0,8.0,0.0,-345.0,2800.0,20,366.19223717188993
100685.0,1500.0,5.0,0.0,223.0,1400.0,8,402.71974315595435
100686.0,10000.0,21.0,0.0,-111.0,9900.0,29,364.07961071124873
100687.0,1000.0,4.0,0.0,-436.0,950.0,18,392.2595404662135
100688.0,5000.0,12.0,0.0,-433.0,4800.0,26,399.0152744003799
100690.0,6500.0,15.0,0.0,-333.0,6300.0,27,380.8713273782622
100692.0,1000.0,4.0,0.0,-397.0,950.0,17,372.18756695515447
100693.0,3300.0,9.0,1.0,287.0,3200.0,11,407.64776964489556
100694.0,2000.0,6.0,0.0,233.0,1900.0,8,353.64776964489545
100695.0,6000.0,14.0,1.0,198.0,5900.0,17,377.71974315595435
100696.0,1000.0,4.0,1.0,201.0,950.0,7,379.46783184456547
100697.0,2600.0,8.0,0.0,-40.0,2500.0,15,376.00763720018995
100699.0,3500.0,9.0,0.0,-456.0,3400.0,23,373.51145177760236
100700.0,1000.0,4.0,1.0,276.0,950.0,6,395.3958583335067
100702.0,3000.0,6.0,1.0,255.0,2900.0,8,375.64776964489545
100704.0,2000.0,6.0,0.0,-336.0,1900.0,18,375.36750475548445
100705.0,1165.0,5.0,1.0,168.0,1100.0,9,405.9153787490411
100706.0,2000.0,6.0,0.0,-462.0,1900.0,20,367.51145177760213
100707.0,1000.0,4.0,0.0,-514.0,950.0,19,373.3315139772725
100708.0,1500.0,5.0,1.0,312.0,1400.0,6,373.57579613383655
100711.0,3000.0,8.0,0.0,315.0,2900.0,9,376.57579613383655
100713.0,7500.0,18.0,0.0,-430.0,7300.0,32,402.0152744003801
100715.0,2500.0,7.0,1.0,258.0,2400.0,9,378.64776964489545
100716.0,3000.0,8.0,1.0,222.0,2900.0,11,401.71974315595435
100717.0,1400.0,3.0,1.0,285.0,1300.0,5,405.64776964489545
100718.0,10000.0,21.0,0.0,-371.0,9800.0,34,401.9433008893211
100720.0,4500.0,11.0,1.0,329.0,4400.0,12,390.57579613383643
100723.0,10000.0,21.0,1.0,318.0,9900.0,22,379.57579613383655
100725.0,3500.0,9.0,0.0,-54.0,3400.0,16,362.00763720018995
100729.0,1000.0,4.0,0.0,-382.0,950.0,17,387.18756695515447
100731.0,3000.0,8.0,0.0,-280.0,2900.0,19,372.29553124442566
100733.0,3000.0,8.0,0.0,-517.0,2900.0,23,371.58342528866126
100737.0,3500.0,9.0,0.0,319.0,3400.0,10,380.57579613383655
100738.0,6500.0,15.0,1.0,114.0,6400.0,19,352.79171666701325
100739.0,5000.0,12.0,0.0,-423.0,4800.0,26,409.0152744003799
100743.0,3700.0,8.0,1.0,259.0,3600.0,10,379.64776964489545
100744.0,1000.0,4.0,0.0,-412.0,950.0,17,357.18756695515447
100746.0,1600.0,6.0,0.0,236.0,1500.0,8,356.64776964489556
100747.0,2000.0,6.0,0.0,-396.0,1900.0,19,374.43947826654335
100748.0,3000.0,8.0,1.0,328.0,2900.0,9,389.57579613383655
100751.0,3000.0,8.0,0.0,-418.0,2900.0,21,352.43947826654323
100756.0,3000.0,8.0,0.0,-416.0,2900.0,21,354.43947826654323
100757.0,5000.0,12.0,1.0,332.0,4900.0,13,393.57579613383655
100759.0,1200.0,5.0,0.0,348.0,1100.0,6,409.57579613383655
100762.0,4000.0,10.0,0.0,-400.0,3900.0,23,370.43947826654335
100763.0,1500.0,5.0,0.0,-369.0,1400.0,18,401.43947826654335
100764.0,2000.0,6.0,0.0,-322.0,1900.0,18,389.36750475548445
100766.0,5000.0,12.0,0.0,-373.0,4900.0,25,397.43947826654335
100767.0,8900.0,19.0,0.0,347.0,8800.0,20,408.5757961338363
100768.0,6500.0,16.0,1.0,218.0,6400.0,19,397.71974315595435
100769.0,5000.0,12.0,0.0,-681.0,4800.0,30,387.3031684446155
100772.0,7600.0,18.0,0.0,-411.0,7400.0,31,361.9433008893211
100773.0,1000.0,2.0,1.0,212.0,950.0,5,390.4678318445655
100775.0,1500.0,5.0,1.0,135.0,1400.0,9,373.79171666701336
100776.0,1000.0,4.0,0.0,-268.0,950.0,15,383.04361993303667
100777.0,2350.0,7.0,0.0,-299.0,2200.0,18,354.5474425558144
100779.0,1000.0,4.0,0.0,-387.0,950.0,17,382.18756695515447
100782.0,6500.0,15.0,0.0,-557.0,6300.0,31,393.1592214224978
100785.0,1500.0,5.0,0.0,-365.0,1400.0,18,405.43947826654335
100790.0,1700.0,6.0,1.0,198.0,1600.0,9,377.71974315595435
100792.0,4000.0,10.0,0.0,-379.0,3900.0,23,391.43947826654335
100793.0,58000.0,43.0,0.0,-399.0,56900.0,56,396.4777044943198
100795.0,1000.0,4.0,1.0,261.0,950.0,6,380.3958583335067
100797.0,7000.0,16.0,0.0,265.0,6900.0,18,385.64776964489556
100805.0,9200.0,21.0,1.0,334.0,9100.0,22,395.5757961338368
100806.0,5300.0,13.0,0.0,-443.0,5100.0,27,389.01527440038
100808.0,800.0,4.0,0.0,-167.0,750.0,13,365.899672910919
100810.0,5000.0,12.0,0.0,-336.0,4900.0,24,375.36750475548456
100814.0,7000.0,14.0,1.0,328.0,6900.0,15,389.57579613383655
100816.0,4700.0,12.0,0.0,-351.0,4600.0,24,360.36750475548433
100818.0,71700.0,43.0,0.0,-423.0,70000.0,56,387.50064023098594
100820.0,542.0,4.0,0.0,-287.0,500.0,15,363.84331412321444
100821.0,9000.0,18.0,1.0,329.0,8900.0,19,390.57579613383655
100823.0,24300.0,32.0,0.0,175.0,24200.0,35,354.71974315595435
100826.0,1100.0,3.0,1.0,337.0,1000.0,4,398.57579613383655
100827.0,500.0,4.0,0.0,-500.0,450.0,19,387.3315139772726
100828.0,2500.0,7.0,0.0,-486.0,2400.0,22,402.58342528866126
100837.0,2782.0,6.0,1.0,-318.0,2600.0,18,395.4206393061621
100838.0,2782.0,6.0,1.0,238.0,2700.0,8,358.19708157279547
100841.0,3500.0,9.0,1.0,224.0,3400.0,12,403.71974315595435
100845.0,5604.0,11.0,1.0,267.0,5500.0,13,387.7479225498065
100846.0,850.0,4.0,1.0,341.0,800.0,5,401.32388482244767
100847.0,2000.0,6.0,0.0,-498.0,1900.0,21,390.5834252886609
100852.0,5623.0,11.0,1.0,269.0,5600.0,13,387.71982622535677
100853.0,543.0,2.0,1.0,42.0,500.0,8,397.50848479414776
100854.0,3500.0,9.0,0.0,-293.0,3400.0,20,359.29553124442555
100855.0,2350.0,7.0,1.0,348.0,2300.0,8,408.32388482244767
100857.0,2167.0,7.0,1.0,329.0,2100.0,8,389.74953466831994
100860.0,500.0,4.0,0.0,-519.0,450.0,19,368.3315139772726
100861.0,7021.0,14.0,1.0,235.0,6900.0,16,356.1735723956788
100863.0,4554.0,11.0,1.0,299.0,4500.0,12,359.42403772735884
100867.0,15000.0,28.0,0.0,-479.0,14800.0,42,353.01527440037967
100868.0,3703.0,10.0,1.0,254.0,3600.0,12,374.7228843235788
100870.0,1109.0,3.0,1.0,312.0,1100.0,4,371.29731754710895
100871.0,670.0,4.0,1.0,254.0,650.0,6,372.6447115466733
100875.0,543.0,4.0,0.0,-375.0,500.0,17,394.01229937156006
100876.0,500.0,4.0,1.0,288.0,450.0,6,407.3958583335067
100877.0,3000.0,6.0,1.0,165.0,2900.0,10,403.79171666701325
100881.0,2000.0,4.0,1.0,328.0,1900.0,5,389.57579613383655
100882.0,543.0,4.0,1.0,324.0,500.0,5,384.1486172388534
100888.0,652.0,4.0,0.0,273.0,650.0,6,391.1940234745733
100890.0,5000.0,12.0,0.0,-522.0,4800.0,27,369.0872479114389
100891.0,5000.0,12.0,0.0,-426.0,4800.0,26,406.0152744003799
100892.0,5000.0,12.0,0.0,-386.0,4800.0,25,386.9433008893209
100899.0,2230.0,7.0,0.0,292.0,2200.0,8,351.8231202978923
100900.0,1120.0,5.0,0.0,-297.0,1000.0,16,355.79629576898105
100903.0,5000.0,10.0,1.0,342.0,4900.0,11,403.57579613383655
100916.0,2500.0,7.0,1.0,143.0,2400.0,11,381.79171666701325
100917.0,6200.0,14.0,1.0,251.0,6100.0,16,371.64776964489533
100918.0,4300.0,11.0,1.0,44.0,4200.0,17,400.93566368913105
100919.0,1000.0,4.0,1.0,287.0,950.0,6,406.3958583335067
100921.0,8950.0,18.0,1.0,251.0,8900.0,20,370.39585833350657
100922.0,3500.0,8.0,1.0,253.0,3400.0,10,373.64776964489545
100923.0,4500.0,11.0,0.0,-570.0,4300.0,27,380.1592214224978
100924.0,2500.0,5.0,1.0,322.0,2400.0,6,383.57579613383666
100929.0,500.0,2.0,1.0,196.0,450.0,5,374.4678318445655
100932.0,7000.0,17.0,0.0,-628.0,6800.0,34,381.2311949335566
100933.0,1000.0,4.0,1.0,319.0,950.0,5,379.32388482244767
100934.0,24300.0,32.0,1.0,319.0,24200.0,33,380.5757961338363
100935.0,23100.0,32.0,1.0,177.0,23000.0,35,356.71974315595435
100936.0,78400.0,43.0,1.0,133.0,77800.0,47,384.3108297809017
100938.0,5000.0,12.0,1.0,220.0,4900.0,15,399.71974315595435
100942.0,1000.0,2.0,1.0,226.0,950.0,5,404.4678318445656
100944.0,700.0,4.0,1.0,340.0,650.0,5,400.3238848224478
100947.0,2500.0,7.0,1.0,28.0,2400.0,13,384.93566368913105
100951.0,2000.0,6.0,0.0,349.0,1900.0,7,410.57579613383655
